index,raw,uic,lat,lon,entries
115,Aubiet,87611764,43.6502068,0.7891179,aubiet
116,Aubigné-Racan,87396572,47.686945,0.2657714,aubigne racan
117,Aubigny-au-Bac,87345447,50.2685315,3.158706,aubigny au bac
118,Aubigny-en-Artois,87342246,50.35297,2.5928045,aubigny en artois
119,Aubin,87613224,44.5272762,2.2393128,aubin
120,Aubin-Saint-Vaast,87316604,50.3946137,1.9705382,aubin saint vaast
121,Auboué,87191684,49.216163,5.9714608,auboue
122,Aubrives,87172122,50.1044507,4.7616512,aubrives
123,Auch,87611749,43.647488,0.596661,auch
124,Auchy-lès-Hesdin,87317230,50.3963631,2.1022448,auchy les hesdin
125,Audrieu,87444059,49.2161315,-0.5960138,audrieu
126,Audruicq,87281428,50.87567,2.07636,audruicq
127,Audun-le-Roman,87194357,49.36682,5.89139,audun le roman
128,Auffay,87415158,49.716044,1.098441,auffay
129,Aulnat Aéroport,87562421,45.7920571,3.1614332,aulnat aeroport
131,Aulnoye-Aymeries,87295600,50.19749,3.84337,aulnoye aymeries
132,Aumale,87313767,49.7650371,1.7560425,aumale
133,Aumont-Aubrac,87783266,44.7181699,3.2835489,aumont aubrac
134,Auneau,87545657,48.4458242,1.77998,auneau
135,Auray,87476200,47.68022,-2.999995,auray
136,Aurec-sur-Loire,87726760,45.3711611,4.1983439,aurec sur loire
137,Aurillac,87645002,44.921092,2.435655,aurillac
138,Auterive,87611384,43.348993,1.468831,auterive
140,Auxerre Saint-Gervais,87683573,47.797645,3.58514,auxerre saint gervais
141,Auxonne,87713347,47.192663,5.37737,auxonne
142,Avallon,87683789,47.4957553,3.9124463,avallon
143,Avenay,87171579,49.0647826,4.043689,avenay
147,Avesnelles,87295725,50.1185513,3.9485876,avesnelles
148,Avesnes-sur-Helpe,87295733,50.12674,3.93295,avesnes sur helpe
149,Avignon Centre,87765008,43.9419,4.805281,avignon centre
150,Avignon TGV,87318964,43.921586,4.786079,avignon tgv
151,Avignonet-Lauragais,87616011,43.3638769,1.7872687,avignonet lauragais
152,Avion,87342584,50.40723,2.83365,avion
153,Avord,87576439,47.0349061,2.6523757,avord
154,Avoudrey,87718551,47.1298359,6.434573,avoudrey
155,Avranches,87448514,48.6902445,-1.3700755,avranches
156,Avrechy,87313296,49.4446439,2.4179608,avrechy
157,Ax-les-Thermes,87611533,42.7247967,1.8332516,ax les thermes
158,Ay,87171561,49.0487318,4.0015644,ay
159,Aytré Plage,87437806,46.1273815,-1.1280462,aytre plage
160,Azay-le-Rideau,87571638,47.2663383,0.4475388,azay le rideau
161,Azay-sur-Cher,87574442,47.3652695,0.8599885,azay sur cher
162,Azerailles,87141408,48.4913355,6.695778,azerailles
163,Babinière,87590349,47.25875274,-1.544928378,babiniere
164,Baccarat,87141416,48.452405,6.74383,baccarat
165,Bagnac-sur-Célé,87613604,44.6652105,2.1602503,bagnac sur cele
167,Bagnols - Chadenet,87783647,44.5286125,3.628178,bagnols chadenet
168,Bagnols-sur-Cèze,87764571,44.161626,4.627032,bagnols sur ceze
169,Baillargues,87773457,43.6533234,4.0071585,baillargues
170,Bailleau-le-Pin,87394411,48.3668028,1.3248851,bailleau le pin
171,Bailleul,87286179,50.72916,2.73445,bailleul
172,Bailleul-Sir-Berthoult,87342592,50.3351257,2.8409809,bailleul sir berthoult
174,Bains-les-Bains,87144147,47.9811282,6.2952683,bains les bains
175,Baisieux,87286872,50.61845,3.2347796,baisieux
176,Balagny Saint-Épin,87313569,49.2942448,2.3441977,balagny saint epin
177,Balbigny,87726869,45.817858,4.187443,balbigny
178,Ballan-Miré,87571604,47.3369919,0.6188975,ballan mire
180,Balsièges,87111864,44.4820108,3.4560976,balsieges
181,Banassac - La Canourgue,87783324,44.4477632,3.1958518,banassac la canourgue
182,Bandol,87755223,43.140344,5.750118,bandol
183,Bannalec,87474189,47.9267473,-3.7065268,bannalec
184,Bantzenheim,87182840,47.8109675,7.5038675,bantzenheim
185,Banyuls-sur-Mer,87784298,42.4829582,3.1250496,banyuls sur mer
186,Bar-le-Duc,87175042,48.773308,5.166822,bar le duc
187,Bar-sur-Aube,87118299,48.2385399,4.7066708,bar sur aube
188,Baraqueville Carcenac Peyralès,87615757,44.2704368,2.4275453,baraqueville carcenac peyrales
189,Barentin,87411264,49.549123,0.953517,barentin
190,Barjac,87783563,44.4992638,3.4109786,barjac
191,Baroncourt,87192658,49.2845332,5.6997387,baroncourt
192,Barr,87214247,48.4032933,7.4565189,barr
193,Barsac,87582759,44.6054306,-0.3215775,barsac
194,Bartenheim,87182113,47.6349313,7.4872561,bartenheim
195,Bas - Monistrol-sur-Loire,87726778,45.297596,4.139602,bas monistrol sur loire
196,Bas Évette,87184200,47.6810089,6.8068494,bas evette
197,Base Aérienne,87699223,47.320184,1.681869,base aerienne
198,Basse-Ham,87191601,49.3805708,6.2348709,basse ham
