station,commune
auffay,val de scie
auger st vincent,auger saint vincent
augreilh,saint sever
augy vaux,augy
aulnat aeroport,aulnat
aulnay sous bois,aulnay sous bois
aulnois bulgneville,aulnois
aulnois sous laon,aulnois sous laon
aulnoye aymeries,aulnoye aymeries
aulnoye aymeries ie,aulnoye aymeries
aumale,aumale
aumetz,aumetz
aumont aubrac,peyre en aubrac
aunay,aunay en bazois
aunay treon,treon
auneau,roinville
auneau ville,auneau bleury saint symphorien
auneuil,auneuil
aurac lafayette,saint georges d aurac
auray,auray
aurec,aurec sur loire
aurillac,aurillac
auriol st zacharie,auriol
auterive,auterive
autet,autet
auteuil boulogne,paris
autheuil authouillet,autheuil authouillet
autrecourt villers,autrecourt et pourron
autrey ste helene,autrey
autrey les gray,autrey les gray
autun,autun
auvers manche,meautis
auvers sur oise,auvers sur oise
auxerre st amatre,auxerre
auxerre st gervais,auxerre
auxi le chateau,auxi le chateau
auxillac,la canourgue
auxon,auxon
auxonne,tillenay
auxy juranville,auxy
auzances,auzances
auzits aussibals,auzits
avallon,avallon
avanton pache,avanton
avenay,avenay val d or
avenue foch,paris
avenue henri martin,paris
avenue du president kennedy radio france,paris
avesnelles,avesnelles
avesnes,avesnes sur helpe
avesnes les aubert,avesnes les aubert
avessac,avessac
avignon centre,avignon
avignon fontcouverte,avignon
avignon tgv,avignon
avignon terminal ter,avignon
avignonet,avignonet lauragais
avion,avion
avize,avize
avoise,avoise
avord,avord
avoudrey,avoudrey
avranches,avranches
avrechy,avrechy
avrecourt,avrecourt
avrigny,avrigny
avrilly,chambois
avree,avree
ax les thermes,ax les thermes
axat aude,axat
ay,ay champagne
ayron latille,ayron
aytre,aytre
aytre plage,aytre
aytre les minimes,aytre
azay le rideau,azay le rideau
azay sur cher,montlouis sur loire
azerailles,azerailles
azerat,azerat
azincourt garage,auberchicourt
babiniere,la chapelle sur erdre
baboeuf,bab uf
bac st maur,sailly sur la lys
baccarat,baccarat
bacouel,bacouel sur selle
badan,grigny
badaroux,haussignemont
badaroux,badaroux
bagnac,bagnac sur cele
bagneaux sur loing,bagneaux sur loing
bagnoles de l orne tesse la madeleine,bagnoles de l orne normandie
bagnols,bagnols sur ceze
bagnols chadenet,chadenet
bagneres de bigorre,bagneres de bigorre
baignes touverac,reignac
baigts de bearn,baigts de bearn
baillargues,baillargues
bailleau l eveque,bailleau l eveque
bailleau le pin,bailleau le pin
bailleul,bailleul
bailleul sir berthoult,bailleul sir berthoult
bailleul sur therain,bailleul sur therain
bailly,bailly
bains les bains,le clerjus
bainville sur madon,bainville sur madon
baisieux,baisieux
baix,baix
balagny st epin,balagny sur therain
balaruc,balaruc les bains
balaze,balaze
balbigny,balbigny
baleycourt,verdun
ballan,ballan mire
ballancourt,ballancourt sur essonne
ballersdorf,ballersdorf
balme araches,magland
balsieges,balsieges
balsieges bourg,balsieges
banassac la canourgue,banassac canilhac
bandol,bandol
bannalec,bannalec
bannes,bannes
bannstein,eguelshardt
bantzenheim,bantzenheim
banyuls dels aspres,banyuls dels aspres
banyuls sur mer,banyuls sur mer
bar le duc,bar le duc
bar sur aube,bar sur aube
bar sur seine,bar sur seine
baraqueville carcenac peyrales,baraqueville
barbentane rognonas,barbentane
barberey st sulpice,barberey saint sulpice
barberier brout vernet,barberier
barbery,montepilloy
barbonne fayel,barbonne fayel
barcelonne du gers,barcelonne du gers
barchetta,volpajola
barentin embranchement,barentin
barentin ville,barentin
barenton bugny,barenton bugny
barenton cohartille,barenton sur serre
barges cemboing,cemboing
barisey la cote,barisey au plain
barjac,barjac
barlin hte,hersin coupigny
barnay,barnay
barneville,barneville carteret
baroncourt,dommary baroncourt
barr,barr
barsac,barsac
barsanges,perols sur vezere
bartenheim,bartenheim
bas monistrol,bas en basset
bas evette,evette salbert
base aerienne,gievres
bassanese,bastia
bassens,bassens
bassens appontements,lormont
bassens appontements,bassens
basses sammarcolles,basses
basta les forges,saint vincent de paul
bastia,bastia
batilly,batilly
batz sur mer,batz sur mer
baud,languidic
baudrecourt,baudrecourt
baudricourt,rouvres en xaintois
bauge,bauge en anjou
baule,baule
baume les dames,baume les dames
baupte,auvers
bauvin provin,bauvin
bavay,bavay
bayard,bayard sur marne
bayel,bayel
bayet,bayet
bayeux,bayeux
bayon,virecourt
bayonne,bayonne
bayonne allees marines,bayonne
bazancourt,bazancourt
bazeilles,bazeilles
bazet oursbelille,oursbelille
baziege,baziege
bazoches,bazoches et saint thibaut
bazoilles devant hymont,bazoilles et menil
bazoilles sur meuse,bazoilles sur meuse
bazouges,bazouges cre sur loir
beau marais,calais
beaucaire,beaucaire
beaucaire marchandises,beaucaire
beauchastel,beauchastel
beauchery,beauchery saint martin
beaucourt,dasle
beaucourt hamel,beaumont hamel
beaucroissant,beaucroissant
beaufort,beaufort orbagna
beaugency,beaugency
beaujeu,beaujeu
beaulieu le coudray,le coudray
beaulieu sur mer,beaulieu sur mer
beaumetz riviere,beaumetz les loges
beaumont boesses,beaumont du gatinais
beaumont de lomagne,beaumont de lomagne
beaumont le roger,beaumont le roger
beaune,beaune
beaune la rolande,beaune la rolande
beaupouyet,beaupouyet
beaurainville,beaurainville
beaurepaire,beaurepaire
beaurieres,beaurieres
beautiran,beautiran
beauvais,beauvais
beauvoir sur niort,beauvoir sur niort
beauvoisin,beauvoisin
beauzac,beauzac
bedenac,bedenac
bedous,bedous
behereharta,villefranque
beillant,saint sever de saintonge
beinheim,seltz
beinheim embranchement,beinheim
bel air,persan
belfort,belfort
belfort montbeliard tgv,meroux moval
belgodere,occhiatana
bellac,bellac
belle isle begard,louargat
bellegarde,valserhone
bellegarde quiers,quiers sur bezonde
bellegarde en forez,bellegarde en forez
bellenaves,bellenaves
belleroche belmont,belleroche
bellevigny,bellevigny
belleville,belleville
belleville villette,paris
belleville sur saone,belleville en beaujolais
bellevue,meudon
