route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000001,OCESN105241F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1959:20260731,105241,0,1,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000002,OCESN105342F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1727:20260403,105342,1,2,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000003,OCESN105342F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1738:20260730,105342,1,3,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000004,OCESN105342F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1728:20260731,105342,1,4,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000005,OCESN105347F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:2215:20260731,105347,1,5,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000006,OCESN105350F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:600:20260727,105350,1,6,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN105362F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1046:20260304,105362,1,7,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000008,OCESN105362F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1049:20260520,105362,1,8,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000009,OCESN105362F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1118:20260513,105362,1,9,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000010,OCESN105362F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1045:20260731,105362,1,10,
