source_uic,target_uic,weight_minutes,source_name,target_name
87116277,87116269,1.835,Faremoutiers-Pommeuse,Guérard-La Celle-sur-Morin
87116277,87116285,2.201,Faremoutiers-Pommeuse,Mouroux
87116285,87116277,2.201,Mouroux,Faremoutiers-Pommeuse
87116285,87116301,1.666,Mouroux,Coulommiers
87116293,87116111,2.309,Vaires-Torcy,Chelles-Gournay
87116293,87116319,2.626,Vaires-Torcy,Lagny-Thorigny
87116301,87116285,1.666,Coulommiers,Mouroux
87116319,87116293,2.626,Lagny-Thorigny,Vaires-Torcy
87116319,87116327,4.792,Lagny-Thorigny,Esbly
87116327,87116103,4.36,Esbly,Meaux
87116327,87116319,4.792,Esbly,Lagny-Thorigny
87116400,87116731,1.253,Montry-Condé,Couilly-St-Germain
87116491,87116103,3.33,Trilport,Meaux
87116491,87116509,4.064,Trilport,Changis-St-Jean
87116509,87116491,4.064,Changis-St-Jean,Trilport
87116509,87116517,4.071,Changis-St-Jean,La Ferté-sous-Jouarre
87116517,87116509,4.071,La Ferté-sous-Jouarre,Changis-St-Jean
87116517,87116558,4.725,La Ferté-sous-Jouarre,Nanteuil-Saâcy
87116558,87116517,4.725,Nanteuil-Saâcy,La Ferté-sous-Jouarre
87116558,87116566,5.434,Nanteuil-Saâcy,Nogent-l'Artaud
87116566,87116558,5.434,Nogent-l'Artaud,Nanteuil-Saâcy
87116566,87116574,2.338,Nogent-l'Artaud,Chézy-sur-Marne
87116574,87116566,2.338,Chézy-sur-Marne,Nogent-l'Artaud
87116574,87116582,3.503,Chézy-sur-Marne,Château-Thierry
87116582,87116574,3.503,Château-Thierry,Chézy-sur-Marne
87116582,87171512,11.0,Château-Thierry,Dormans
87116616,87116632,1.787,Isles-Armentières,Lizy-sur-Ourcq
87116632,87116616,1.787,Lizy-sur-Ourcq,Isles-Armentières
87116632,87116640,4.708,Lizy-sur-Ourcq,Crouy-sur-Ourcq
87116640,87116632,4.708,Crouy-sur-Ourcq,Lizy-sur-Ourcq
87116640,87116665,2.85,Crouy-sur-Ourcq,Mareuil-sur-Ourcq
87116665,87116640,2.85,Mareuil-sur-Ourcq,Crouy-sur-Ourcq
87116665,87116673,3.345,Mareuil-sur-Ourcq,La Ferté-Milon
87116673,87116665,3.345,La Ferté-Milon,Mareuil-sur-Ourcq
87116673,87116681,6.439,La Ferté-Milon,Neuilly-St-Front
87116681,87116673,6.439,Neuilly-St-Front,La Ferté-Milon
87116681,87116699,3.473,Neuilly-St-Front,Oulchy-Breny
87116699,87116681,3.473,Oulchy-Breny,Neuilly-St-Front
87116699,87171371,6.363,Oulchy-Breny,Fère-en-Tardenois
87116731,87116400,1.253,Couilly-St-Germain,Montry-Condé
87116731,87116749,1.713,Couilly-St-Germain,Villiers-Montbarbin
87116749,87116731,1.713,Villiers-Montbarbin,Couilly-St-Germain
87116749,87116772,1.0,Villiers-Montbarbin,Crécy-La Chapelle
87116772,87116749,1.0,Crécy-La Chapelle,Villiers-Montbarbin
87118000,87118158,17.0,Troyes,Romilly-sur-Seine
87118000,87118257,15.0,Troyes,Vendeuvre (Aube)
87118158,87118000,18.0,Romilly-sur-Seine,Troyes
87118158,87118190,10.0,Romilly-sur-Seine,Nogent-sur-Seine
87118190,87116137,11.0,Nogent-sur-Seine,Longueville
87118190,87118158,10.0,Nogent-sur-Seine,Romilly-sur-Seine
87118257,87118000,15.0,Vendeuvre (Aube),Troyes
87118257,87118299,11.0,Vendeuvre (Aube),Bar-sur-Aube
87118299,87118257,11.0,Bar-sur-Aube,Vendeuvre (Aube)
87118299,87142000,19.0,Bar-sur-Aube,Chaumont
87131961,87743351,1.174,Brion-Montral-la-Cluse,Nurieux
87131961,87743526,5.276,Brion-Montral-la-Cluse,Bellignat
87131961,87745000,15.758,Brion-Montral-la-Cluse,Bellegarde
87141002,87141010,1.683,Nancy-Ville,Jarville-la-Malgrange
87141002,87141085,2.865,Nancy-Ville,Champigneulles
87141010,87141002,1.683,Jarville-la-Malgrange,Nancy-Ville
87141010,87141093,1.328,Jarville-la-Malgrange,Laneuveville-devant-Nancy
87141010,87141473,2.149,Jarville-la-Malgrange,Houdemont
87141036,87141044,3.704,Foug,Toul
87141036,87175828,2.591,Foug,Pagny-sur-Meuse
87141044,87141036,3.704,Toul,Foug
87141044,87141051,4.764,Toul,Fontenoy-sur-Moselle
87141044,87141291,23.0,Toul,Neufchâteau
87141051,87141044,4.764,Fontenoy-sur-Moselle,Toul
87141051,87141069,5.0,Fontenoy-sur-Moselle,Liverdun
87141069,87141051,5.0,Liverdun,Fontenoy-sur-Moselle
87141069,87141077,3.749,Liverdun,Frouard
87141077,87141069,3.749,Frouard,Liverdun
87141077,87141085,1.589,Frouard,Champigneulles
87141077,87141788,1.295,Frouard,Pompey
87141085,87141002,2.865,Champigneulles,Nancy-Ville
87141085,87141077,1.589,Champigneulles,Frouard
87141093,87141010,1.328,Laneuveville-devant-Nancy,Jarville-la-Malgrange
87141093,87141101,4.0,Laneuveville-devant-Nancy,Varangéville-St-Nicolas
87141101,87141093,4.0,Varangéville-St-Nicolas,Laneuveville-devant-Nancy
87141101,87141119,1.464,Varangéville-St-Nicolas,Dombasle-sur-Meurthe
87141119,87141101,1.464,Dombasle-sur-Meurthe,Varangéville-St-Nicolas
87141119,87141127,1.125,Dombasle-sur-Meurthe,Rosières-aux-Salines
87141127,87141119,1.125,Rosières-aux-Salines,Dombasle-sur-Meurthe
87141127,87141135,2.902,Rosières-aux-Salines,Blainville-Damelevières
87141127,87141507,10.712,Rosières-aux-Salines,Neuves-Maisons
87141135,87141127,2.902,Blainville-Damelevières,Rosières-aux-Salines
87141135,87141143,2.667,Blainville-Damelevières,Mont-sur-Meurthe
87141143,87141135,2.667,Mont-sur-Meurthe,Blainville-Damelevières
87141143,87141150,2.631,Mont-sur-Meurthe,Lunéville
87141150,87141143,2.631,Lunéville,Mont-sur-Meurthe
87141150,87215103,12.0,Lunéville,Igney-Avricourt
87141200,87141218,4.097,Einvaux,Bayon
87141218,87141200,4.097,Bayon,Einvaux
87141218,87144055,5.647,Bayon,Charmes
